lastname,contributor_zip5,sumcontribs,city,state,county,state_fips,county_fips,latitude,longitude,fips,num_returns,total_agi_value,avg_agi,avg_agi_rank
Ryan,44420,11500,GIRARD,OH,TRUMBULL,39,155,41.171267,-80.679898,39155,7400,334609,45217.43243243243,20053
Ryan,10708,11200,BRONXVILLE,NY,WESTCHESTER,36,119,40.938404,-73.828671,36119,11320,2970839,262441.6077738516,245
Ryan,15205,11200,PITTSBURGH,PA,ALLEGHENY,42,003,40.435089,-80.108698,42003,12270,703436,57329.74735126324,10314
Ryan,44311,11200,AKRON,OH,SUMMIT,39,153,41.064871,-81.523195,39153,2280,54862,24062.280701754386,29702
Ryan,33301,8400,FORT LAUDERDALE,FL,BROWARD,12,011,26.121115,-80.127232,12011,8600,2267440,263655.81395348837,237
Sanders,00000,24274.86,NA,NA,NA,NA,NA,NA,NA,NANA,NA,NA,NA,NA
Sanders,94611,13965.9,OAKLAND,CA,ALAMEDA,06,001,37.83611,-122.219253,06001,20720,4334172,209178.18532818533,394
Sanders,98103,10258.14,SEATTLE,WA,KING,53,033,47.670294,-122.348306,53033,29390,3122868,106256.14154474312,1904
Sanders,94110,10237,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.748676,-122.415813,06075,38770,4590850,118412.43229301006,1460
Sanders,95062,9590,SANTA CRUZ,CA,SANTA CRUZ,06,087,36.97169,-121.988562,06087,17700,1348408,76181.24293785311,4519
Sanders,10025,9414,NEW YORK,NY,NEW YORK,36,061,40.798345,-73.963158,36061,45610,6826320,149667.1782503837,846
Sanders,10010,9285,NEW YORK,NY,NEW YORK,36,061,40.738634,-73.982937,36061,17360,3918136,225699.07834101384,346
Sanders,94709,9184.02,BERKELEY,CA,ALAMEDA,06,001,37.879862,-122.264766,06001,5280,481333,91161.55303030302,2818
Sanders,94704,9159,BERKELEY,CA,ALAMEDA,06,001,37.872228,-122.244743,06001,6620,395051,59675.37764350453,9122
Sanders,53711,8695,MADISON,WI,DANE,55,025,43.020436,-89.412671,55025,24870,2287804,91990.51065540811,2765
Trump,33480,156704.4,PALM BEACH,FL,PALM BEACH,12,099,26.678858,-80.039237,12099,5200,5537180,1064842.3076923077,4
Trump,34108,129658.88,NAPLES,FL,COLLIER,12,021,26.244492,-81.808154,12021,8780,2838040,323239.1799544419,152
Trump,75225,98724.38,DALLAS,TX,DALLAS,48,113,32.863466,-96.791739,48113,10570,4967495,469961.6840113529,64
Trump,10022,89699.4,NEW YORK,NY,NEW YORK,36,061,40.758346,-73.967997,36061,19840,10038198,505957.56048387097,51
Trump,77024,83659.29,HOUSTON,TX,HARRIS,48,201,29.76378,-95.500466,48201,15460,5137264,332293.91979301424,140
Trump,75205,76775.24,DALLAS,TX,DALLAS,48,113,32.833389,-96.793911,48113,9620,4387256,456055.71725571726,71
Trump,33432,71970.07,BOCA RATON,FL,PALM BEACH,12,099,26.346542,-80.08339,12099,10370,2465067,237711.37897782063,302
Trump,85253,71555.44,PARADISE VALLEY,AZ,MARICOPA,04,013,33.545998,-111.969375,04013,8080,3752220,464383.6633663366,68
Trump,78209,71352.54,SAN ANTONIO,TX,BEXAR,48,029,29.48562,-98.458175,48029,19080,2925975,153352.98742138367,794
Trump,27408,67095.46,GREENSBORO,NC,GUILFORD,37,081,36.102377,-79.815407,37081,9070,1221031,134623.04299889746,1084
Warren,02138,40401.4,CAMBRIDGE,MA,MIDDLESEX,25,017,42.380054,-71.132952,25017,14990,2874981,191793.2621747832,474
Warren,02493,24541.2,WESTON,MA,MIDDLESEX,25,017,42.357814,-71.295386,25017,5130,3883183,756955.7504873294,14
Warren,10011,21623.7,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Warren,02445,18305,BROOKLINE,MA,NORFOLK,25,021,42.322072,-71.13129,25021,9860,2524047,255988.53955375252,260
Warren,02140,15847.42,CAMBRIDGE,MA,MIDDLESEX,25,017,42.393254,-71.13454,25017,10590,1066253,100684.89140698774,2195
Warren,02118,14207.5,BOSTON,MA,SUFFOLK,25,025,42.337039,-71.072034,25025,13860,2015055,145386.36363636362,902
Warren,11201,12050.43,BROOKLYN,NY,KINGS,36,047,40.694599,-73.990638,36047,31970,6204145,194061.46387238035,461
Warren,10023,11616.01,NEW YORK,NY,NEW YORK,36,061,40.773726,-73.980067,36061,34070,11766656,345367.067801585,125
Warren,02108,11400,BOSTON,MA,SUFFOLK,25,025,42.357322,-71.0645,25025,2650,1377150,519679.24528301886,45
Warren,10013,11325,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Williamson,10011,12425,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Williamson,94901,8375,SAN RAFAEL,CA,MARIN,06,041,37.971938,-122.504395,06041,19630,2512890,128012.73560876209,1234
Williamson,01907,8254.9,SWAMPSCOTT,MA,ESSEX,25,009,42.47517,-70.904971,25009,7500,1065796,142106.13333333333,950
Williamson,93953,8100,PEBBLE BEACH,CA,MONTEREY,06,053,36.587838,-121.945828,06053,2110,552046,261633.17535545025,248
Williamson,93108,7000,SANTA BARBARA,CA,SANTA BARBARA,06,083,34.44996,-119.558944,06083,4690,1658386,353600.4264392324,114
Williamson,90069,6998.86,WEST HOLLYWOOD,CA,LOS ANGELES,06,037,34.094175,-118.38091,06037,13450,2188298,162698.73605947956,693
Williamson,10014,6625,NEW YORK,NY,NEW YORK,36,061,40.734332,-74.010112,36061,18660,5552653,297569.8285101822,182
Williamson,90210,6600,BEVERLY HILLS,CA,LOS ANGELES,06,037,34.103131,-118.416253,06037,9490,5739663,604811.6965226554,29
Williamson,94114,6410,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.758229,-122.439512,06075,20360,4324445,212399.06679764244,377
Williamson,92679,5910,TRABUCO CANYON,CA,ORANGE,06,059,33.631168,-117.551611,06059,14810,2794007,188656.7859554355,500
Yang,10013,19106,NEW YORK,NY,NEW YORK,36,061,40.720921,-74.008878,36061,14940,6301582,421792.63721552875,84
Yang,NA,15673.96,NA,NA,NA,NA,NA,NA,NA,NANA,NA,NA,NA,NA
Yang,10003,14575,NEW YORK,NY,NEW YORK,36,061,40.731392,-73.9884,36061,28660,6622842,231083.11235170971,320
Yang,10019,12920.9,NEW YORK,NY,NEW YORK,36,061,40.767192,-73.99181,36061,25110,6507210,259148.14814814815,254
Yang,11201,11486.380000000001,BROOKLYN,NY,KINGS,36,047,40.694599,-73.990638,36047,31970,6204145,194061.46387238035,461
Yang,94114,10503.630000000001,SAN FRANCISCO,CA,SAN FRANCISCO,06,075,37.758229,-122.439512,06075,20360,4324445,212399.06679764244,377
Yang,94022,10100,LOS ALTOS,CA,SANTA CLARA,06,085,37.365558,-122.148494,06085,9940,5438276,547110.2615694165,37
Yang,06831,10002,GREENWICH,CT,FAIRFIELD,09,001,41.08048,-73.663465,09001,7360,4314603,586223.2336956522,30
Yang,10011,9146.13,NEW YORK,NY,NEW YORK,36,061,40.74406,-74.004592,36061,29920,7972017,266444.4184491979,232
Yang,10012,9059.95,NEW YORK,NY,NEW YORK,36,061,40.725568,-73.998208,36061,12470,3198885,256526.46351242982,257
