contributor_zip5,Sanders,Warren,winner,advantage,city,state,county,state_fips,county_fips,latitude,longitude
78552,1015.73,0,Sanders,1015.73,HARLINGEN,TX,CAMERON,48,061,26.188764,-97.767779
21122,1015.5,581.31,Sanders,434.19000000000005,PASADENA,MD,ANNE ARUNDEL,24,003,39.125329,-76.512115
83835,1014.98,0,Sanders,1014.98,HAYDEN,ID,KOOTENAI,16,055,47.800252,-116.584196
10805,1014.97,100,Sanders,914.97,NEW ROCHELLE,NY,WESTCHESTER,36,119,40.896265,-73.781088
11932,1014,250,Sanders,764,BRIDGEHAMPTON,NY,SUFFOLK,36,103,40.934571,-72.308939
77573,1013.7,1643.08,Warren,629.3799999999999,LEAGUE CITY,TX,GALVESTON,48,167,29.511641,-95.087068
89508,1011.7,271.5,Sanders,740.2,RENO,NV,WASHOE,32,031,39.801066,-119.887482
97116,1011.5,920,Sanders,91.5,FOREST GROVE,OR,WASHINGTON,41,067,45.596046,-123.272167
77009,1010.1,2009.97,Warren,999.87,HOUSTON,TX,HARRIS,48,201,29.792298,-95.368815
77551,1009.84,0,Sanders,1009.84,GALVESTON,TX,GALVESTON,48,167,29.277028,-94.834302
05763,1008.9,0,Sanders,1008.9,PITTSFORD,VT,RUTLAND,50,021,43.742296,-72.998026
33544,1008.84,0,Sanders,1008.84,WESLEY CHAPEL,FL,PASCO,12,101,28.270444,-82.370737
32118,1008.74,175,Sanders,833.74,DAYTONA BEACH,FL,VOLUSIA,12,127,29.202099,-80.99842
39520,1008.6,153,Sanders,855.6,BAY SAINT LOUIS,MS,HANCOCK,28,045,30.334086,-89.497042
18914,1008.4,550,Sanders,458.4,CHALFONT,PA,BUCKS,42,017,40.286362,-75.209358
08833,1008,100,Sanders,908,LEBANON,NJ,HUNTERDON,34,019,40.643468,-74.81999
76133,1007.8599999999999,228,Sanders,779.8599999999999,FORT WORTH,TX,TARRANT,48,439,32.658632,-97.385612
43068,1007,235,Sanders,772,REYNOLDSBURG,OH,FRANKLIN,39,049,39.957992,-82.768439
94956,1006.2,2105,Warren,1098.8,POINT REYES STATION,CA,MARIN,06,041,38.009522,-122.79327
08406,1005.54,0,Sanders,1005.54,VENTNOR CITY,NJ,ATLANTIC,34,001,39.343737,-74.483061
89448,1005.06,410,Sanders,595.06,ZEPHYR COVE,NV,DOUGLAS,32,005,39.027887,-119.919728
22193,1004.72,390,Sanders,614.72,WOODBRIDGE,VA,PRINCE WILLIAM,51,153,38.642531,-77.348454
54229,1004.49,0,Sanders,1004.49,NEW FRANKEN,WI,BROWN,55,009,44.570289,-87.832851
01938,1003.78,3309,Warren,2305.2200000000003,IPSWICH,MA,ESSEX,25,009,42.682948,-70.847264
01453,1003.64,1351.4,Warren,347.7600000000001,LEOMINSTER,MA,WORCESTER,25,027,42.524468,-71.772212
