county,fips,Booker,Buttigieg,Castro,Delaney,Gabbard,Gillibrand,Harris,Hickenlooper,Inslee,Klobuchar,Messam,O'Rourke,Sanders,Trump,Warren,Williamson,Yang
BLACK HAWK,19013,NA,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,517.2,5098.6900000000005,NA,NA,NA
BLACKFORD,18009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.57,NA,NA,NA
BLADEN,37017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,907.25,NA,NA,NA
BLAINE,16013,NA,200,NA,25693.2,NA,NA,1250,NA,10250,NA,NA,1225,915,6001.54,NA,NA,1
BLAINE,30005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.42,NA,NA,NA
BLAINE,40011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652.5,NA,NA,NA
BLAIR,42013,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,345,22114.6,NA,NA,NA
BLANCO,48031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3890,NA,1210.46,NA,NA,NA
BLAND,51021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.25,NA,NA,NA
BLECKLEY,13023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355.83,NA,NA,NA
BLEDSOE,47007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299.87,NA,NA,NA
BLOUNT,01009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1949.37,NA,NA,NA
BLOUNT,47009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,11668.42,408.96,NA,NA
BLUE EARTH,27013,NA,NA,NA,NA,NA,NA,NA,NA,NA,13496.42,NA,NA,300,5750.719999999999,NA,NA,NA
BOISE,16015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523,NA,NA,NA
BOLIVAR,28011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,742.37,NA,NA,NA
